ID_kredytu	kwota
K32109	2000
K32109	2000
K32109	2000
K32109	2000
K32109	2000
K32109	2000
K32110	500
K32111	2000
K32112	200
K32113	500
K32114	2000
K32115	1000
K32116	1500
K32116	1500
K32116	1500
K32116	1500
K32116	1500
K32116	1500
K32116	1500
K32116	1500
K32116	1500
K32117	1500
K32117	1500
K32117	1500
K32117	1500
K32117	1500
K32117	1500
K45678	500
K45678	500
K45678	500
K45678	500
K45678	500
K45678	500
K45678	500
K56780	700
K56780	700
K56780	700
K56781	2000
K56781	2000
K56781	2000
K56781	2000
K56781	2000
K56781	2000
K56782	500
K56783	3000
K56784	500
K56784	500
K56784	500
K56784	500
K56784	500
K56785	2000
K87655	300
K87656	300
K87656	700
K87657	300
K87657	500
K87658	300
K87658	1500
K87659	300
K87659	1500
K87659	1500
K87659	1500
K87659	1500
K87659	1500
K87659	1500
K87659	1500
K87659	1500
K87660	500
K90123	2000
K90123	2000
K90123	2000
K90123	2000
K90123	2000
K90123	2000
K90123	2000
K90123	2000
K90124	500
R01234	200
R01235	200
R01235	200
R01235	200
R01235	200
R01235	200
R01235	200
R01235	200
R01236	200
R01237	200
R01238	200
R01239	200
R12346	400
R12347	200
R12348	500
R12349	400
R12349	400
R12349	400
R12349	400
R12350	1500
R12350	1500
R43211	400
R43212	700
R43213	900
R43213	900
R43213	900
R43214	500
R43215	500
R43216	1200
R43216	1200
R43217	800
R43217	800
R43217	800
R43217	800
R43217	800
R43217	800
R43217	800
R43217	800
R43218	400
R56789	500
R56789	500
R56789	500
R56789	500
R56789	500
R56789	500
R56789	500
R56790	500
R67891	700
R67892	300
R67895	300
R98766	500
R98767	400
R98767	400
R98767	400
R98767	400
R98767	400
R98768	300
R98768	300
R98769	300
R98770	300
R98771	800
R98771	800
R98771	800
R98771	800
R98771	800
R98771	800
R98772	500
S10993	500
S10993	500
S10993	500
S10993	500
S10993	500
S10993	500
S10993	500
S10993	500
S10993	800
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S12345	27000
S21090	500
S21098	130
S21098	130
S21098	130
S21098	130
S21098	130
S21098	130
S21098	130
S21098	130
S21098	130
S21099	500
S21100	1300
S21101	500
S21102	800
S21103	1000
S21104	1000
S21104	1000
S21104	1000
S21104	1000
S21104	1000
S21104	1000
S21104	1000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34567	10000
S34568	1000
S34568	1000
S34568	1000
S34568	1000
S34568	1000
S34568	1000
S34568	1000
S43210	800
S43210	800
S43210	800
S43210	800
S43210	800
S43210	800
S43210	800
S43210	800
S45679	200
S45679	200
S45679	200
S45679	200
S45679	200
S45680	1400
S45680	1400
S45680	1400
S45680	1400
S45680	1400
S45681	500
S45682	500
S45683	500
S45683	500
S45683	500
S45683	500
S45684	150
S76543	200
S76543	200
S76543	200
S76543	200
S76544	2000
S76544	2000
S76544	2000
S76544	2000
S76544	1000
S76544	1000
S76544	1000
S76545	700
S76546	500
S76547	3000
S76548	2000
S76549	1000
S76549	1000
S76549	1000
S76549	1000
S76549	1000
S76549	1000
S76549	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S76550	1000
S89013	500
S90124	100
S90124	100
S90124	100
S90124	100
S90125	200
S90126	300
S90127	2000
S90128	200
S90128	200
S90128	200
